"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
3.7,184,FALSE,5.7,3.5,"Mitrović",7,"a",8,54,28,472666,7685,1535142,71511,0.6,4.9,"Mitrović",657,2,2,1,12,0,0,1,2,0,0,3,70,134,119,310,55,76,12,49,4,13,8,22,11
8.3,224,TRUE,10.1,8.4,"Vardy",22.5,"a",9,13,59,1511198,182754,1403645,36086,0.8,5.8,"Vardy",558,8,2,2,8,0,0,1,0,0,0,10,234,311.4,50.9,298,66.2,5,2,147,21,14,9,11,5
0,233,FALSE,5.6,1.3,"Iheanacho",0.3,"a",9,13,4,10997,687,40332,1359,0,0.7,"Iheanacho",101,0,0,1,1,0,0,0,0,0,0,0,12,8.6,38.1,29,7.6,367,39,174,23,210,40,299,39
0,579,FALSE,5,1,"Slimani",0.1,"a",9,13,1,5868,650,3625,811,0,0.2,"Slimani",19,0,0,0,1,0,0,0,0,0,0,0,3,0.2,11.7,6,1.8,408,52,297,43,312,49,384,47
8.7,202,TRUE,6.1,7.2,"Bamford",35.2,"a",10,2,58,2847118,227188,865462,74848,1.4,9.5,"Bamford",670,7,2,2,16,0,0,0,1,0,0,9,200,273.4,56.9,401,73.1,9,4,138,19,5,3,9,3
1.7,492,FALSE,5.7,3,"Moreno",2.2,"n",10,2,18,122216,133,521909,23508,0.3,3.2,"Rodrigo",320,1,1,1,3,0,0,0,0,0,0,3,62,62.4,82,175,32,210,23,95,10,36,19,71,18
4,249,FALSE,9.2,3.4,"Firmino",2.2,"a",11,14,27,84290,3427,249270,12102,0.4,2.9,"Firmino",618,1,2,1,14,0,0,0,1,0,0,3,115,107,129.2,265,50.1,134,17,39,2,18,11,28,13
0,256,FALSE,5.2,0,"Origi",0.6,"a",11,14,0,16765,1014,67998,2310,0,0,"Origi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,68,573,70,567,70,579,70
0.3,268,FALSE,10.3,1.5,"Agüero",1.2,"i",12,43,3,193505,830,393352,4766,0,0.3,"Agüero",109,0,0,1,1,0,0,0,0,0,0,0,16,4,36.8,18,5.8,387,44,181,25,249,43,319,42
3,282,FALSE,9.3,7.5,"de Jesus",1.1,"a",12,43,15,149086,20165,214379,4456,0.3,1.6,"Jesus",180,2,0,0,2,0,0,0,1,0,0,4,52,79.2,27.5,68,17.5,183,20,208,30,118,33,173,26
0,539,FALSE,4.4,1,"Delap",0.9,"a",12,43,1,129932,7000,90020,7856,0,0.2,"Delap",39,0,0,0,4,0,0,0,0,0,0,0,0,0,0.3,4,0.2,496,54,379,53,324,52,406,53
0,293,FALSE,6.2,1,"Ighalo",0.2,"a",13,1,1,6012,218,19641,638,0,0.2,"Ighalo",9,0,0,0,1,0,0,0,0,0,0,0,1,0,0.1,2,0.2,598,76,390,55,345,54,409,54
0.7,303,FALSE,8.7,1.8,"Martial",3.9,"a",13,1,7,534286,18454,1096069,11105,0.1,0.8,"Martial",287,0,1,0,11,0,0,0,0,1,0,0,6,3.6,14.5,72,8.6,390,45,277,40,109,30,283,37
2.3,569,FALSE,8,2.3,"Cavani",0.8,"a",13,1,7,97069,17630,51634,6669,0.3,0.9,"Cavani",55,1,0,0,0,0,0,0,0,0,0,0,30,34,1.8,45,8,289,33,350,49,170,39,293,38
1,320,FALSE,5.3,1.7,"Carroll",0.3,"a",14,4,10,43586,726,60520,1982,0.2,1.9,"Carroll",162,0,1,1,4,0,0,0,0,0,0,0,23,14.8,16.9,72,10.3,344,35,265,38,104,28,258,35
0,329,FALSE,5.9,0,"Gayle",0,"i",14,4,0,368,39,2279,53,0,0,"Gayle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,73,592,74,592,74,594,74
