"form","id","in_dreamteam","now_cost","points_per_game","second_name","selected_by_percent","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type"
3,120,FALSE,6.8,3.9,"Mount",4.6,"a",5,8,27,295453,7706,561865,27841,0.4,4,"Mount",539,1,2,1,9,0,0,0,0,0,0,2,120,143.2,167.4,186,49.7,68,25,23,17,33,16,29,15
0.3,122,FALSE,5.7,2.8,"Hudson-Odoi",0.3,"a",5,8,11,21935,379,40827,1981,0.1,1.9,"Hudson-Odoi",154,1,0,1,0,0,0,0,0,0,0,0,47,49.6,70.4,53,17.3,240,97,119,76,152,82,175,85
0,124,FALSE,4.4,0,"Gilmour",0.1,"a",5,8,0,2851,359,8375,461,0,0,"Gilmour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,188,475,189,448,176,495,188
1.7,500,FALSE,8.3,3.7,"Havertz",4.1,"d",5,8,26,514233,1654,1115560,95107,0.2,3.1,"Havertz",550,1,2,3,7,0,0,0,1,0,0,0,92,109,126.4,84,32,129,47,41,32,86,46,72,43
0.7,130,FALSE,5.3,1.8,"McArthur",0.1,"a",6,31,11,3656,122,11971,462,0.1,2.1,"McArthur",518,0,0,1,7,0,0,0,2,0,0,0,53,85.6,46.9,15,14.8,173,66,157,98,259,132,202,95
0.3,131,FALSE,4.5,1.8,"McCarthy",1.4,"a",6,31,9,106223,1205,182989,4896,0.1,2,"McCarthy",329,0,0,1,5,0,0,0,1,0,0,0,47,52.2,25,8,8.5,235,94,224,132,295,148,284,130
2,133,FALSE,5,3,"Kouyaté",0.6,"a",6,31,24,64808,2497,46540,4242,0.4,4.8,"Kouyaté",720,1,0,1,12,0,0,0,0,0,0,2,111,165,12.2,65,24.3,49,16,291,156,122,67,113,62
2,137,FALSE,5.9,4,"Townsend",2.4,"a",6,31,32,352913,6203,271635,21399,0.3,5.4,"Townsend",681,1,2,1,12,0,0,0,0,0,0,4,111,180.8,186,81,44.8,37,11,17,14,92,51,37,19
0.3,138,FALSE,5.6,0.8,"Milivojevic",0.3,"s",6,31,5,6027,21,53505,2123,0.1,0.9,"Milivojevic",223,0,0,0,6,0,0,0,0,1,0,0,32,30.8,49.5,2,8.1,299,125,152,94,342,163,289,133
6.3,141,TRUE,7.4,6.8,"Zaha",29.8,"a",6,31,54,2385294,147474,1030061,93108,0.9,7.3,"Zaha",720,5,2,1,12,0,0,0,2,0,0,8,144,243.6,162.8,346,75.3,12,5,25,19,7,3,7,5
2,142,FALSE,5.4,3,"Schlupp",0.1,"a",6,31,18,9218,239,12158,506,0.4,3.3,"Schlupp",399,0,1,4,2,0,0,0,1,0,0,1,64,77.2,62.8,61,20.1,186,72,130,81,128,71,150,76
0,143,FALSE,4.8,0,"Meyer",0,"a",6,31,0,1316,108,3389,185,0,0,"Meyer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,212,536,213,518,204,547,212
4.3,144,FALSE,4.4,2.8,"Riedewald",1.7,"a",6,31,17,150197,39697,49479,12282,1,3.9,"Riedewald",360,1,0,1,6,0,0,0,0,0,0,1,65,95.6,31.1,17,14.5,155,58,197,123,252,129,205,97
0,147,FALSE,4.4,0,"Pierrick",0.1,"a",6,31,0,6189,500,7442,612,0,0,"Pierrick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,192,479,193,452,180,499,192
5,489,FALSE,5.8,3,"Eze",0.5,"d",6,31,21,35695,18932,42494,4269,0.9,3.6,"Eze",317,1,1,0,9,0,0,0,0,0,0,3,73,97.6,69.1,91,25.8,151,56,121,77,80,44,98,54
1,149,FALSE,4.9,1.3,"Delph",0,"d",7,11,4,1811,25,3560,451,0.2,0.8,"Delph",154,0,0,0,3,0,0,0,0,0,0,0,29,20.8,17.5,1,3.9,324,138,263,148,351,166,350,161
1.7,150,FALSE,6.8,1.8,"Sigurdsson",0.9,"a",7,11,14,13060,799,60288,2188,0.3,2.1,"Sigurdsson",382,0,1,0,8,0,0,0,0,0,0,0,61,68,95.8,76,24,196,76,72,48,100,56,115,63
3,154,FALSE,5.8,3,"Anício Caldeira Duarte",0.1,"a",7,11,9,6162,2587,11376,614,0.5,1.6,"Bernard",165,1,0,0,4,0,0,0,1,0,0,1,37,67.2,71.2,24,16.2,197,77,117,75,223,116,187,91
0.3,158,FALSE,5.4,1.8,"Tavares Gomes",0.3,"a",7,11,9,19640,368,34279,1123,0.1,1.7,"André Gomes",362,0,0,1,6,0,0,0,1,0,0,0,33,26.6,47.3,22,9.1,305,128,155,97,231,122,274,125
2,159,FALSE,5.9,2,"Iwobi",0.2,"a",7,11,14,6690,523,12098,850,0.3,2.4,"Iwobi",182,0,2,0,6,0,0,0,0,0,0,0,45,42.8,53,34,13,260,107,143,88,192,100,224,106
0,161,FALSE,5,0,"Gbamin",0,"i",7,11,0,174,18,196,20,0,0,"Gbamin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,224,565,225,558,221,572,224
0,163,FALSE,5.3,1.3,"Davies",0.1,"a",7,11,4,2799,98,7690,351,0,0.8,"Davies",92,0,0,0,2,0,0,0,0,0,0,0,24,22.2,2.8,0,2.5,322,137,338,166,573,229,366,164
0.3,168,FALSE,4.3,1,"Gordon",0.4,"a",7,11,1,17257,2017,43451,2245,0.1,0.2,"Gordon",32,0,0,0,0,0,0,0,0,0,0,0,4,4.2,1.2,2,0.7,384,171,364,174,336,160,396,173
1.3,502,FALSE,5.4,1.7,"Marques Loureiro",1,"d",7,11,12,75877,2067,134226,5442,0.2,2.2,"Allan",630,0,0,1,12,0,0,0,3,0,0,0,82,120,49.7,8,17.8,103,37,151,93,300,152,168,82
1.3,508,FALSE,7.9,6.1,"Rodríguez",29.2,"a",7,11,43,2983618,135483,1799829,139654,0.2,5.4,"Rodríguez",588,3,3,1,10,0,0,0,1,0,0,5,182,228.2,248.3,151,62.9,16,7,7,6,43,24,13,8
1,512,FALSE,5.3,2,"Doucouré",1.1,"a",7,11,16,70279,1383,165380,6575,0.2,3,"Doucouré",648,0,1,1,14,0,0,0,3,0,0,0,111,110.6,108.9,115,33.4,124,44,61,42,58,31,67,39
0.7,115,FALSE,5.9,1.8,"Loftus-Cheek",0.2,"a",8,54,7,8921,264,13604,1209,0.1,1.2,"Loftus-Cheek",220,0,0,1,4,0,0,0,1,0,0,0,31,18.4,24.2,57,9.9,334,142,230,133,141,75,265,122
0,172,FALSE,4.7,0,"McDonald",0,"n",8,54,0,795,20,4944,138,0,0,"McDonald",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,206,520,207,497,196,534,206
0,174,FALSE,4.7,0,"Johansen",0,"n",8,54,0,350,11,2945,104,0,0,"Johansen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,207,522,208,499,197,536,207
4.7,175,FALSE,5.3,2.9,"Cairney",0.2,"a",8,54,20,7959,2088,16788,1216,0.9,3.8,"Cairney",630,1,0,1,11,0,0,0,2,0,0,2,133,147,238.8,78,46.4,63,22,10,9,94,52,35,18
0,177,FALSE,5.1,0,"Knockaert",0,"n",8,54,0,943,9,11779,182,0,0,"Knockaert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,225,569,226,563,222,576,225
0,180,FALSE,4.8,1.2,"Kebano",0.1,"a",8,54,5,2551,38,10571,220,0,1,"Kebano",115,0,0,0,3,0,0,0,0,0,0,0,11,1.4,14.6,47,5.9,402,178,275,150,164,87,318,145
0.7,187,FALSE,5.3,1.6,"Neves Abreu Cavaleiro",0.1,"a",8,54,11,2823,36,8326,288,0.1,2.1,"Cavaleiro",432,0,0,0,12,0,0,0,1,0,0,0,43,38,122.5,53,21.3,274,116,44,33,151,81,138,70
0,188,FALSE,4.7,1.5,"Onomah",0.1,"n",8,54,3,1995,67,12331,334,0,0.6,"Onomah",131,0,0,0,7,0,0,0,0,0,0,0,7,12,7.4,2,2.1,356,156,311,161,338,161,374,167
0,189,FALSE,4.6,0,"Seri",0,"n",8,54,0,2714,29,9557,259,0,0,"Seri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,205,518,206,494,194,532,205
-0.7,190,FALSE,4.8,0.4,"Kamara",0.1,"s",8,54,2,4161,78,10111,339,-0.1,0.4,"Kamara",214,0,0,0,8,0,0,0,1,1,0,0,-4,10.8,43.3,32,8,360,159,161,100,197,103,291,134
